Group;Variable
Allergy;Has.the.patient.been.diagnosed.with.any.of.the.following.allergy-related.problems?_Asthma
Allergy;Has.the.patient.been.diagnosed.with.any.of.the.following.allergy-related.problems?_Atopic.dermatitis.(eczema)
Allergy;Has.the.patient.been.diagnosed.with.any.of.the.following.allergy-related.problems?_Allergic.rhinitis.(hay.fever)
Allergy;Has.the.patient.been.diagnosed.with.any.of.the.following.allergy-related.problems?_Food.allergy
Allergy;Has.the.patient.been.diagnosed.with.any.of.the.following.allergy-related.problems?_Insect.sting.allergy
Anesthesia;Has.the.patient.ever.had.any.of.the.following.complications.from.anesthesia?_Falls.asleep.with.difficulty
Anesthesia;Has.the.patient.ever.had.any.of.the.following.complications.from.anesthesia?_Wakes.up.with.difficulty
Anesthesia;Has.the.patient.ever.had.any.of.the.following.complications.from.anesthesia?_Wakes.up.immediately
Anesthesia;Has.the.patient.ever.had.any.of.the.following.complications.from.anesthesia?_Has.less.post-operative.pain.than.would.be.expected
Anesthesia;Has.the.patient.ever.had.any.of.the.following.complications.from.anesthesia?_Needs.less.post-operative.pain.medication.than.would.be.expected
Cardiovascular;Has.the.patient.ever.had.any.of.the.following.cardiovascular.conditions?_Congenital.heart.disease
Cardiovascular;Has.the.patient.ever.had.any.of.the.following.cardiovascular.conditions?_Heart.murmur
Cardiovascular;Has.the.patient.ever.had.any.of.the.following.cardiovascular.conditions?_Heart.rate.too.fast/slow
Cardiovascular;Has.the.patient.ever.had.any.of.the.following.cardiovascular.conditions?_Fainting.or.dizzy.spells
Cardiovascular;If.the.patient.has.a.congenital.heart.disease.what.is.the.diagnosis?.Also,.if.the.patient.had.surgery,.please.indicate.at.what.age._Patent Ductus Arteriosus (PDA)_Diagnosis
Cardiovascular;If.the.patient.has.a.congenital.heart.disease.what.is.the.diagnosis?.Also,.if.the.patient.had.surgery,.please.indicate.at.what.age._Ventricular Septal Defect (VSD)_Diagnosis
Diagnosis;Has.the.patient.been.diagnosed.with.any.of.the.following.conditions?.If.yes,.did.the.diagnosis.of.each.condition.change.once.the.diagnosis.of.Phelan-McDermid.Syndrome.was.made?_ADHD_Condition
Diagnosis;Has.the.patient.been.diagnosed.with.any.of.the.following.conditions?.If.yes,.did.the.diagnosis.of.each.condition.change.once.the.diagnosis.of.Phelan-McDermid.Syndrome.was.made?_Autism_Condition
Diagnosis;Has.the.patient.been.diagnosed.with.any.of.the.following.conditions?.If.yes,.did.the.diagnosis.of.each.condition.change.once.the.diagnosis.of.Phelan-McDermid.Syndrome.was.made?_Autistic-like features_Condition
Diagnosis;Has.the.patient.been.diagnosed.with.any.of.the.following.conditions?.If.yes,.did.the.diagnosis.of.each.condition.change.once.the.diagnosis.of.Phelan-McDermid.Syndrome.was.made?_Cerebral Palsy_Condition
Diagnosis;Has.the.patient.been.diagnosed.with.any.of.the.following.conditions?.If.yes,.did.the.diagnosis.of.each.condition.change.once.the.diagnosis.of.Phelan-McDermid.Syndrome.was.made?_Pervasive Developmental Disorder (PDD)_Condition
Diagnosis;Has.the.patient.been.diagnosed.with.hypotonia?
Diagnosis;Does.the.patient.have.seizures?_ currently
Ears.-.Hearing;Has.the.patient.ever.had.any.of.the.following.hearing.problems?_Ear pain_Problem
Ears.-.Hearing;Has.the.patient.ever.had.any.of.the.following.hearing.problems?_Sensorineural Hearing Loss (permanent nerve hearing loss)_Problem
Ears.-.Hearing;What.is.the.highest.number.of.ear.infections.the.patient.has.had.in.a.given.year?
Ears.-.Hearing;Has.the.patient.had.ear.infections.after.age.three,.which.required.recurrent.courses.of.antibiotics?
Ears.-.Hearing;Has.the.patient.had.ear.tubes?
